0
7
[(4.59,4.89)(6.50,6.28)][(7.26,5.43)(7.80,5.59)][(1.38,5.30)(1.51,6.03)][(3.50,5.49)(3.85,6.44)][(2.83,1.10)(4.47,1.82)][(3.15,6.61)(3.53,7.52)][(3.34,2.36)(4.25,1.35)]
[(5.22,5.48)(4.45,7.66)][(8.74,5.09)(7.26,4.99)][(3.46,3.95)(2.10,5.54)][(2.99,6.42)(3.29,7.46)][(3.75,2.17)(4.50,2.07)][(1.38,5.10)(3.14,7.18)][(3.82,2.22)(3.41,3.38)]
[(5.32,5.96)(4.50,8.12)][(9.08,5.03)(7.36,5.14)][(3.07,4.36)(1.95,5.04)][(2.49,5.95)(2.82,7.93)][(3.73,2.47)(4.31,1.87)][(1.69,5.50)(3.53,6.68)][(3.77,2.52)(2.91,2.88)]
[(5.45,6.39)(4.02,8.59)][(9.12,5.39)(6.88,4.67)][(2.59,4.66)(2.42,4.95)][(2.17,5.46)(2.45,7.77)][(4.19,2.97)(4.32,2.04)][(1.20,5.84)(3.84,6.51)][(3.28,2.53)(3.38,2.66)]
[(5.92,6.47)(4.40,8.19)][(9.28,5.74)(6.49,4.85)][(3.05,4.86)(2.54,5.43)][(2.67,4.99)(1.97,7.33)][(4.32,2.59)(3.83,2.54)][(1.49,5.40)(3.42,6.86)][(3.78,2.30)(3.83,2.96)]
[(6.42,6.42)(4.84,8.60)][(9.52,5.36)(6.02,4.41)][(3.54,5.17)(2.58,5.78)][(2.17,5.34)(2.47,7.83)][(4.18,2.84)(3.90,2.12)][(1.26,5.11)(3.73,7.36)][(4.28,2.80)(3.35,3.46)]
[(6.82,6.52)(5.32,8.23)][(9.99,5.77)(6.46,4.63)][(3.05,5.61)(2.11,6.26)][(2.22,4.84)(2.85,7.74)][(3.71,3.33)(3.47,2.62)][(1.07,4.61)(3.38,7.58)][(4.21,2.79)(3.66,3.89)]
[(6.33,6.04)(4.84,7.74)][(9.81,6.07)(6.37,5.08)][(3.50,6.05)(2.58,6.67)][(1.74,4.79)(3.30,7.82)][(3.39,2.85)(3.24,3.05)][(1.25,4.74)(3.08,7.08)][(4.00,3.14)(3.20,4.22)]
[(5.84,6.32)(5.06,7.25)][(9.32,6.55)(5.89,5.50)][(3.02,6.37)(3.05,6.94)][(1.44,5.17)(3.46,8.05)][(2.89,2.45)(3.74,2.59)][(1.38,4.42)(2.59,6.58)][(3.69,2.75)(3.62,3.86)]
[(6.14,5.83)(5.03,7.10)][(9.23,6.46)(6.38,5.20)][(3.51,6.65)(2.77,6.67)][(1.94,5.63)(3.05,8.37)][(2.39,2.73)(3.34,2.65)][(1.44,4.92)(2.63,6.69)][(3.31,2.34)(3.12,3.68)]
[(5.87,5.85)(5.07,6.62)][(9.08,6.93)(5.90,5.08)][(3.47,7.12)(3.23,6.50)][(1.96,5.68)(2.89,7.93)][(2.02,2.58)(3.31,2.34)][(1.77,4.67)(2.13,6.19)][(2.83,2.44)(3.48,4.17)]
[(5.40,5.36)(4.72,6.57)][(9.30,6.45)(5.65,5.09)][(3.54,6.63)(3.02,6.59)][(1.85,5.81)(2.39,7.64)][(1.54,3.07)(3.74,1.85)][(1.68,4.29)(1.92,6.13)][(3.04,1.98)(3.22,4.59)]
[(5.36,4.86)(5.21,6.32)][(9.00,6.00)(6.15,4.60)][(4.04,6.59)(3.45,6.10)][(1.80,6.31)(2.17,8.01)][(1.67,3.49)(4.21,2.30)][(1.33,4.41)(1.52,6.02)][(3.42,2.11)(3.42,4.89)]
[(5.17,5.19)(5.54,5.85)][(9.44,6.33)(6.64,4.63)][(4.09,7.00)(3.61,6.08)][(1.73,6.70)(1.69,8.51)][(2.05,3.92)(4.71,2.45)][(1.80,3.99)(1.76,6.24)][(3.90,2.21)(2.92,4.70)]
[(5.15,5.45)(5.08,6.34)][(9.18,5.93)(6.24,4.18)][(4.14,7.41)(3.27,5.61)][(1.57,6.99)(1.96,8.47)][(2.55,3.98)(5.21,2.94)][(1.70,4.01)(1.55,5.82)][(3.89,1.92)(3.26,4.20)]
[(5.11,5.06)(5.57,6.14)][(9.66,5.52)(5.94,4.67)][(4.43,7.70)(3.67,5.57)][(1.10,6.83)(1.78,8.71)][(3.03,3.64)(4.85,3.37)][(1.82,3.64)(1.46,5.40)][(3.39,1.48)(2.88,4.44)]
[(5.25,5.13)(6.05,5.66)][(9.43,5.99)(5.49,5.16)][(4.91,7.85)(4.17,5.44)][(1.47,7.05)(2.22,8.33)][(2.67,3.75)(4.50,3.19)][(1.78,4.00)(1.91,5.83)][(3.05,1.64)(3.25,4.12)]
[(5.75,5.54)(6.53,6.12)][(9.41,6.46)(5.45,4.67)][(4.54,7.35)(4.46,5.71)][(1.40,7.47)(2.67,7.85)][(2.94,3.59)(4.66,3.47)][(1.99,3.95)(1.70,5.47)][(3.55,1.73)(3.39,4.15)]
[(5.60,6.01)(6.03,6.23)][(8.97,5.96)(5.71,5.07)][(4.44,7.69)(4.96,6.21)][(1.89,7.02)(2.42,8.34)][(3.35,3.69)(4.75,2.97)][(1.55,3.56)(2.17,5.05)][(3.87,2.23)(2.89,3.76)]
[(5.73,6.21)(6.43,6.61)][(9.37,5.51)(6.16,5.04)][(4.90,8.19)(5.19,6.70)][(2.13,6.55)(2.11,7.88)][(3.74,3.25)(4.96,3.08)][(1.08,3.56)(2.40,4.66)][(3.69,2.32)(3.00,4.26)]
[(5.75,6.64)(6.03,6.77)][(9.56,5.76)(5.66,5.54)][(4.62,8.58)(5.15,6.28)][(2.60,6.76)(2.20,7.52)][(3.44,2.80)(5.42,2.75)][(1.58,3.09)(2.86,4.23)][(3.33,2.77)(3.50,4.61)]
[(6.24,6.69)(5.61,7.23)][(9.88,5.40)(6.13,5.12)][(4.70,8.43)(5.61,6.52)][(2.85,7.10)(2.25,7.12)][(3.05,2.31)(5.91,3.18)][(2.00,3.53)(2.37,4.18)][(3.08,3.23)(3.43,5.11)]
[(6.66,6.42)(5.77,7.72)][(9.59,5.21)(5.83,5.48)][(4.41,8.56)(6.09,6.32)][(2.94,6.80)(2.62,7.58)][(2.73,2.12)(5.45,2.75)][(2.49,3.54)(2.27,3.80)][(3.57,2.77)(3.01,5.59)]
[(6.93,6.35)(5.27,7.25)][(9.53,5.60)(6.00,5.10)][(4.01,8.63)(6.21,6.81)][(2.79,6.50)(2.62,7.92)][(2.35,2.61)(4.96,3.13)][(2.45,3.17)(2.73,3.35)][(3.14,2.79)(3.17,5.56)]
[(6.65,6.22)(5.66,7.49)][(9.06,6.08)(5.54,5.00)][(4.15,8.89)(6.70,7.28)][(2.35,6.01)(2.87,8.42)][(2.57,3.05)(5.40,2.79)][(2.09,2.71)(2.33,2.94)][(3.07,2.39)(2.69,5.38)]
[(6.44,6.41)(5.83,7.96)][(8.79,6.55)(6.01,4.50)][(3.79,8.58)(7.15,7.76)][(2.81,6.46)(2.70,8.71)][(2.09,3.48)(5.67,2.58)][(2.25,2.59)(1.84,2.68)][(3.28,2.89)(3.10,5.85)]
[(6.85,6.49)(5.79,7.96)][(9.28,6.16)(5.51,5.00)][(4.25,8.98)(6.68,7.64)][(3.15,6.05)(2.78,8.80)][(2.48,3.13)(5.17,2.84)][(1.99,2.11)(1.51,3.15)][(3.48,2.67)(3.55,6.19)]
[(7.03,6.04)(5.88,8.39)][(9.49,5.67)(5.01,4.50)][(4.22,8.70)(7.18,7.87)][(3.33,5.67)(3.21,8.30)][(2.55,2.64)(4.70,2.39)][(2.15,1.72)(1.67,3.29)][(3.00,2.17)(4.01,6.04)]
[(6.59,6.45)(5.38,8.39)][(9.32,6.15)(4.78,4.79)][(4.32,9.03)(6.69,8.35)][(3.49,5.19)(2.78,7.81)][(2.24,2.15)(4.46,2.42)][(1.73,2.20)(2.10,2.89)][(2.63,2.44)(3.81,5.72)]
[(6.09,6.95)(5.87,8.86)][(8.99,5.69)(5.27,4.52)][(3.92,8.56)(6.19,7.86)][(3.21,5.25)(3.25,7.39)][(2.62,1.66)(4.45,1.98)][(1.37,2.11)(2.15,2.61)][(2.42,1.96)(3.37,6.15)]
[(6.57,6.89)(6.36,9.22)][(9.46,6.05)(5.58,4.28)][(4.33,8.50)(5.78,8.34)][(3.33,5.02)(3.75,7.89)][(2.13,2.02)(4.79,1.54)][(1.77,2.51)(2.64,2.41)][(1.92,1.58)(2.91,6.03)]
[(6.89,6.39)(6.71,9.35)][(9.92,5.97)(6.05,4.70)][(4.57,8.94)(5.28,8.79)][(3.74,5.13)(4.00,8.32)][(1.63,1.53)(4.56,2.01)][(1.89,2.94)(2.14,1.95)][(2.30,1.10)(3.21,5.98)]
[(6.43,6.80)(6.43,9.85)][(9.60,6.47)(6.45,4.56)][(4.96,8.61)(4.93,8.40)][(3.54,5.60)(4.00,8.59)][(1.29,1.68)(4.45,1.52)][(1.66,3.10)(1.68,1.49)][(2.77,1.25)(2.91,6.42)]
[(6.78,7.27)(6.00,9.93)][(9.13,6.02)(6.76,5.05)][(5.46,8.80)(5.07,8.01)][(3.10,5.45)(3.51,8.10)][(1.63,1.83)(4.29,1.67)][(1.30,2.63)(1.63,1.04)][(3.18,1.53)(3.20,5.92)]
[(6.33,7.10)(5.53,9.45)][(9.38,6.39)(6.90,4.81)][(5.21,9.30)(5.30,7.71)][(3.59,5.15)(3.39,8.35)][(1.61,2.14)(4.57,1.33)][(1.24,3.11)(2.01,1.53)][(2.68,1.03)(3.13,6.35)]
[(6.69,6.66)(5.10,9.76)][(9.88,6.82)(7.18,5.31)][(4.74,9.58)(4.82,8.21)][(4.09,4.81)(3.54,7.96)][(1.96,2.15)(4.17,1.75)][(1.58,2.74)(2.29,1.93)][(2.19,1.33)(2.96,6.36)]
[(7.16,6.19)(5.12,9.57)][(9.74,6.90)(7.08,5.27)][(4.82,9.95)(5.26,8.41)][(4.40,5.30)(3.56,7.54)][(1.73,1.78)(4.36,1.63)][(1.80,3.24)(2.21,2.14)][(1.70,1.12)(2.46,5.86)]
[(6.69,5.97)(4.97,9.99)][(9.24,7.37)(6.59,5.29)][(5.32,9.48)(4.78,8.65)][(4.62,5.67)(3.21,7.23)][(2.23,1.30)(4.39,1.69)][(1.77,2.91)(2.31,1.64)][(2.06,1.60)(1.98,5.36)]
[(6.36,5.49)(4.88,9.56)][(9.08,6.93)(7.03,4.95)][(5.62,9.92)(5.06,8.15)][(4.20,5.65)(2.82,7.68)][(2.31,1.64)(4.50,2.05)][(1.82,3.00)(1.82,1.14)][(2.51,2.08)(2.24,5.63)]
[(6.61,5.44)(4.92,9.73)][(8.92,6.76)(7.46,5.12)][(5.64,9.44)(4.56,8.65)][(3.73,5.93)(3.22,7.37)][(2.62,1.23)(4.93,2.48)][(1.57,2.84)(2.31,1.13)][(2.02,2.55)(2.53,5.29)]
[(7.10,5.87)(4.86,9.34)][(8.49,7.12)(7.43,4.69)][(5.59,9.59)(4.44,8.15)][(4.14,5.77)(3.71,7.02)][(2.19,1.73)(5.42,2.96)][(1.70,2.42)(2.81,1.31)][(1.84,2.09)(2.04,5.42)]
[(6.60,5.56)(4.77,8.87)][(8.97,6.76)(7.63,4.56)][(5.13,9.32)(4.34,7.67)][(4.44,5.96)(3.21,7.33)][(1.70,2.16)(5.43,3.44)][(1.72,2.88)(2.71,1.12)][(2.12,2.59)(1.81,5.89)]
[(6.16,5.11)(4.28,8.44)][(8.59,6.26)(7.78,4.76)][(5.08,8.86)(4.11,7.49)][(4.50,6.45)(2.97,7.76)][(1.21,1.66)(5.79,3.73)][(1.93,2.47)(2.28,1.62)][(2.22,2.09)(2.31,6.37)]
[(6.62,4.63)(3.85,7.95)][(8.18,6.61)(8.22,4.30)][(4.77,8.95)(3.62,7.35)][(4.76,6.02)(2.49,8.04)][(1.60,2.06)(6.08,3.24)][(2.43,2.11)(2.24,1.48)][(1.81,2.42)(1.83,6.49)]
[(7.02,4.54)(3.66,8.27)][(8.35,6.58)(8.15,4.15)][(4.27,8.76)(3.34,7.17)][(5.03,6.24)(2.75,7.70)][(2.10,1.61)(6.30,3.16)][(2.13,1.82)(1.88,1.85)][(2.00,2.80)(2.33,6.96)]
[(7.19,4.74)(3.26,8.52)][(8.50,6.32)(7.67,4.14)][(4.65,8.91)(3.38,7.22)][(4.70,6.52)(3.25,8.06)][(2.18,2.10)(6.77,3.30)][(1.65,1.75)(1.52,1.61)][(1.55,2.47)(2.83,6.95)]
[(6.73,4.63)(2.77,8.03)][(8.12,6.02)(8.05,3.64)][(4.55,8.67)(3.20,6.82)][(5.14,6.91)(3.70,8.17)][(1.92,2.23)(7.23,3.80)][(1.27,1.48)(1.08,1.14)][(2.04,2.21)(3.02,6.51)]
[(6.31,4.85)(2.51,7.56)][(7.71,5.72)(8.53,4.00)][(4.99,8.49)(3.17,7.20)][(5.56,6.45)(3.87,7.67)][(2.24,1.74)(7.72,3.70)][(1.43,1.11)(1.52,1.07)][(1.56,2.70)(3.16,6.65)]
[(6.75,4.65)(2.61,7.51)][(8.21,5.22)(8.30,4.39)][(4.53,7.99)(2.93,7.70)][(5.12,6.64)(4.25,7.17)][(1.83,1.26)(7.63,3.24)][(1.43,1.55)(2.02,1.23)][(2.05,2.36)(3.64,6.75)]
[(6.90,5.10)(3.08,7.05)][(7.75,5.28)(8.80,4.89)][(4.46,8.30)(2.55,8.20)][(4.64,6.21)(4.72,7.38)][(1.72,1.76)(8.10,2.95)][(1.61,1.58)(2.15,1.73)][(1.74,1.92)(3.15,7.21)]
[(7.20,4.67)(3.37,6.67)][(8.19,5.67)(8.79,5.34)][(3.97,8.53)(2.23,7.79)][(4.48,6.00)(4.95,7.74)][(2.22,1.36)(7.70,2.45)][(1.81,2.01)(2.56,1.35)][(1.86,1.86)(2.80,6.87)]
[(6.91,4.20)(3.45,6.43)][(8.69,5.21)(8.35,5.51)][(4.34,8.52)(2.73,7.71)][(4.96,5.96)(5.44,8.19)][(2.30,1.49)(7.90,2.23)][(1.56,1.51)(2.30,1.04)][(1.36,2.20)(2.49,6.58)]
[(6.75,4.64)(3.54,6.88)][(8.19,4.99)(8.27,5.75)][(4.34,8.08)(2.23,7.94)][(4.89,6.14)(5.02,8.43)][(2.57,1.44)(8.33,2.67)][(1.96,1.26)(1.85,1.49)][(1.35,2.67)(2.19,6.93)]
[(7.16,4.63)(3.38,6.63)][(8.69,5.48)(7.78,5.28)][(4.43,7.69)(2.71,8.13)][(4.89,6.50)(5.41,8.14)][(2.53,1.41)(8.25,3.14)][(1.72,1.62)(1.57,1.28)][(1.85,3.12)(2.19,7.37)]
[(7.32,4.70)(3.40,6.46)][(8.20,5.97)(8.28,4.80)][(4.89,7.19)(2.30,8.01)][(5.23,6.99)(5.30,8.60)][(2.37,1.90)(7.77,3.43)][(1.22,1.53)(1.43,1.05)][(1.37,3.56)(2.43,7.07)]
[(6.84,5.20)(2.95,6.52)][(8.24,6.44)(8.29,5.05)][(4.39,6.71)(2.60,7.80)][(5.62,6.84)(4.80,9.10)][(2.84,2.28)(8.10,2.99)][(1.45,1.55)(1.56,1.52)][(1.75,4.02)(2.87,7.40)]
[(6.54,4.88)(2.88,7.00)][(8.72,6.19)(7.88,4.58)][(4.59,6.39)(2.65,7.71)][(6.12,7.30)(4.30,9.14)][(3.21,2.55)(7.99,2.92)][(1.36,1.37)(1.94,1.10)][(1.97,3.90)(2.94,7.88)]
[(6.10,5.37)(2.39,6.65)][(8.29,5.93)(7.96,4.90)][(4.84,6.10)(3.15,8.13)][(5.95,7.77)(3.94,9.18)][(2.76,2.17)(7.62,3.42)][(1.12,1.67)(2.38,1.53)][(1.55,3.40)(2.47,8.00)]
[(6.22,4.87)(2.32,6.78)][(7.80,5.45)(7.50,4.61)][(4.36,6.24)(2.65,7.63)][(6.45,7.60)(3.90,9.21)][(2.99,1.70)(7.91,3.92)][(1.40,1.68)(2.80,1.21)][(1.58,2.93)(2.12,7.50)]
[(6.02,4.47)(2.71,6.38)][(7.43,5.95)(7.51,4.90)][(4.62,6.67)(2.17,8.01)][(6.93,7.57)(3.81,9.70)][(2.74,1.35)(7.97,4.35)][(1.06,1.28)(2.71,1.36)][(2.07,2.45)(1.97,7.01)]
[(6.52,4.73)(2.57,5.88)][(7.90,5.92)(7.85,5.24)][(4.12,6.32)(2.57,8.47)][(6.52,7.96)(4.03,9.28)][(3.00,1.40)(7.72,3.86)][(1.25,1.12)(2.27,1.82)][(2.26,2.31)(2.08,7.01)]
[(7.01,4.78)(2.94,6.33)][(8.23,5.57)(7.77,5.48)][(4.28,6.67)(3.07,8.59)][(7.02,7.63)(4.49,9.52)][(2.56,1.67)(7.55,4.34)][(1.75,1.20)(1.95,2.15)][(1.99,2.25)(2.56,7.06)]
[(7.20,4.70)(3.42,5.90)][(7.87,5.19)(7.28,5.97)][(3.96,6.26)(3.23,8.80)][(7.50,8.06)(4.98,9.97)][(2.06,1.74)(7.25,4.25)][(1.94,1.16)(1.47,2.54)][(1.78,2.66)(3.05,6.57)]
[(7.55,4.20)(2.92,6.21)][(8.24,4.80)(7.53,6.41)][(4.32,6.71)(2.73,9.16)][(7.87,7.68)(5.48,9.58)][(1.86,2.23)(6.77,4.56)][(2.41,1.65)(1.82,2.28)][(1.57,2.55)(2.67,7.03)]
[(7.53,4.70)(3.42,5.71)][(8.01,4.35)(7.03,6.69)][(4.68,6.44)(2.78,8.82)][(7.47,7.36)(5.97,9.12)][(2.07,2.24)(7.22,4.35)][(2.12,1.17)(1.34,1.78)][(1.15,2.08)(2.45,7.48)]
[(7.03,4.52)(3.04,5.26)][(8.18,4.23)(6.57,7.18)][(4.47,6.44)(2.76,8.32)][(7.59,7.29)(6.34,9.10)][(1.82,1.79)(6.81,4.24)][(2.27,1.67)(1.41,1.32)][(1.64,2.03)(2.90,7.02)]
[(7.18,4.92)(3.30,5.20)][(8.49,4.33)(6.07,6.69)][(4.40,6.89)(2.80,8.33)][(7.32,7.77)(6.26,9.48)][(1.78,1.30)(7.17,4.47)][(1.79,1.37)(1.27,1.81)][(1.67,2.00)(2.46,6.65)]
[(6.93,4.72)(3.40,4.97)][(8.95,4.29)(6.31,6.69)][(4.90,6.43)(3.00,8.80)][(7.04,8.17)(5.88,9.83)][(1.65,1.64)(6.96,4.83)][(1.36,1.14)(1.05,2.00)][(1.29,1.68)(1.99,6.41)]
[(7.40,5.14)(3.87,5.47)][(9.45,4.70)(6.63,6.19)][(5.34,5.94)(2.64,9.11)][(7.47,8.43)(5.59,9.46)][(2.13,1.18)(6.85,4.72)][(1.52,1.64)(1.53,1.77)][(1.73,2.13)(2.03,6.04)]
[(6.90,4.68)(3.87,5.10)][(9.69,5.16)(6.90,6.40)][(4.91,5.45)(2.17,9.52)][(7.04,8.89)(5.13,9.14)][(1.70,1.22)(6.96,4.88)][(1.84,1.15)(1.20,2.19)][(1.28,1.67)(1.61,5.63)]
[(6.41,4.89)(3.42,5.33)][(9.78,5.63)(6.61,6.90)][(4.49,5.94)(1.87,9.17)][(7.01,8.83)(4.63,9.63)][(2.08,1.34)(6.90,4.78)][(2.24,1.30)(1.14,2.68)][(1.70,1.43)(2.10,5.36)]
[(6.60,5.06)(2.93,5.76)][(9.81,6.10)(6.48,6.40)][(4.91,5.63)(1.43,9.48)][(7.25,9.27)(5.01,9.31)][(2.13,1.39)(7.39,5.26)][(1.75,1.75)(1.14,2.56)][(1.52,1.84)(2.39,5.61)]
[(6.26,4.61)(2.51,6.16)][(9.43,5.95)(6.05,6.25)][(5.03,5.28)(1.80,9.31)][(7.21,9.09)(4.62,9.76)][(2.43,1.35)(7.07,5.33)][(2.23,2.21)(1.64,2.15)][(1.09,2.32)(2.00,5.17)]
[(6.39,4.59)(2.01,5.71)][(8.99,6.36)(6.30,6.12)][(5.07,5.78)(2.17,8.89)][(6.92,8.97)(4.75,9.97)][(1.96,1.53)(7.56,5.81)][(2.68,2.27)(1.93,1.79)][(1.45,2.82)(1.53,4.71)]
[(6.86,4.14)(2.33,5.58)][(8.68,6.38)(6.77,5.75)][(5.39,6.25)(2.55,9.19)][(7.42,9.06)(5.11,9.98)][(1.50,1.88)(7.96,5.62)][(2.93,2.05)(2.21,1.74)][(1.75,3.29)(2.03,4.96)]
[(6.37,4.31)(1.85,5.21)][(8.52,6.04)(7.26,6.25)][(5.88,6.67)(2.21,9.51)][(7.13,8.77)(5.29,9.49)][(1.66,2.07)(8.06,5.75)][(2.86,2.24)(2.06,2.22)][(2.22,3.38)(1.81,5.08)]
[(6.55,4.12)(1.50,5.52)][(8.45,5.75)(6.76,5.76)][(6.28,6.71)(1.72,9.57)][(7.39,8.34)(5.65,9.47)][(1.56,2.57)(8.05,5.56)][(2.37,1.74)(1.61,2.15)][(1.85,2.91)(1.33,5.47)]
[(6.05,3.66)(1.04,5.49)][(8.92,5.99)(6.28,5.27)][(6.71,6.56)(2.09,9.39)][(7.83,8.81)(5.38,9.40)][(1.86,2.11)(7.91,5.09)][(2.59,2.14)(1.90,2.42)][(2.32,2.42)(1.61,4.98)]
[(6.21,3.97)(1.14,5.88)][(9.34,6.12)(6.66,5.74)][(6.60,6.10)(2.26,9.84)][(7.50,9.27)(4.93,9.61)][(2.29,1.63)(8.26,4.65)][(2.78,1.64)(1.72,1.92)][(2.41,2.55)(1.50,5.22)]
[(5.95,4.16)(1.00,5.38)][(9.15,5.79)(6.79,6.11)][(6.57,5.64)(2.70,9.53)][(7.04,8.78)(5.42,9.24)][(1.79,1.48)(8.56,4.16)][(2.40,2.09)(2.16,1.42)][(2.01,2.16)(1.99,4.72)]
[(6.24,4.37)(1.45,5.53)][(8.87,5.61)(6.93,6.36)][(6.18,5.45)(3.19,9.79)][(7.31,8.37)(5.31,8.94)][(1.91,1.08)(8.13,4.51)][(2.75,1.73)(2.55,1.25)][(2.00,1.81)(1.82,4.74)]
[(5.76,4.05)(1.08,5.40)][(8.38,5.83)(6.45,6.20)][(6.07,5.82)(2.72,9.39)][(6.82,8.06)(5.38,8.90)][(1.67,1.43)(8.48,4.06)][(2.55,1.51)(2.59,1.67)][(1.53,2.31)(2.04,4.51)]
[(6.24,3.84)(1.09,5.19)][(8.71,5.49)(6.14,6.20)][(6.33,5.33)(3.14,9.19)][(6.44,7.59)(5.68,8.43)][(1.27,1.89)(8.55,3.61)][(2.15,1.24)(2.09,2.01)][(2.00,2.22)(2.30,4.10)]
[(6.49,3.36)(1.53,4.77)][(9.10,5.83)(5.78,6.63)][(6.66,5.82)(3.48,8.72)][(6.50,7.57)(6.17,8.47)][(1.67,1.62)(8.87,3.66)][(2.12,1.51)(2.04,1.53)][(2.36,1.76)(1.83,4.33)]
[(6.23,3.01)(1.85,4.28)][(9.45,6.23)(6.25,6.31)][(7.14,5.71)(3.41,8.92)][(6.02,8.00)(5.78,8.96)][(1.23,2.10)(8.75,4.16)][(2.33,1.12)(2.50,1.04)][(2.78,1.26)(1.52,4.00)]
[(6.21,3.50)(2.05,4.04)][(9.03,6.73)(6.75,5.83)][(6.71,5.78)(3.69,9.39)][(6.00,8.44)(6.18,8.46)][(1.50,2.41)(9.16,3.96)][(2.39,1.14)(2.43,1.24)][(2.29,1.63)(1.93,3.75)]
[(5.75,4.00)(1.56,3.85)][(8.55,6.25)(6.95,5.79)][(7.11,5.46)(3.40,8.94)][(5.51,8.10)(6.47,8.84)][(1.24,2.06)(8.74,4.32)][(2.71,1.39)(2.75,1.14)][(1.96,1.53)(1.47,3.86)]
[(5.35,3.84)(1.55,4.35)][(8.85,5.91)(7.18,5.29)][(7.59,5.11)(3.36,9.13)][(5.57,7.95)(5.98,8.43)][(1.18,2.48)(8.77,4.62)][(2.26,1.05)(2.76,1.49)][(2.15,1.08)(1.97,3.39)]
[(4.85,3.35)(1.99,4.80)][(9.21,6.40)(6.68,5.24)][(7.09,4.61)(3.83,8.78)][(5.16,8.44)(5.73,8.92)][(1.62,2.65)(9.10,4.15)][(2.53,1.35)(2.27,1.04)][(2.20,1.21)(1.91,3.78)]
[(4.49,3.15)(1.50,4.81)][(9.34,6.14)(6.37,5.53)][(6.85,5.02)(4.26,8.97)][(4.70,7.94)(6.23,8.87)][(1.38,2.77)(8.96,4.43)][(2.92,1.78)(2.30,1.38)][(1.95,1.67)(1.72,3.74)]
[(4.76,2.81)(1.60,4.56)][(9.73,6.30)(6.53,5.77)][(6.43,4.94)(4.72,8.97)][(4.21,7.57)(6.32,8.93)][(1.67,3.20)(9.36,4.90)][(2.52,1.47)(2.38,1.86)][(2.29,1.28)(2.02,4.23)]
[(4.32,2.87)(1.45,4.06)][(9.66,6.79)(6.13,5.64)][(6.45,5.24)(4.50,8.90)][(3.72,7.09)(5.87,9.21)][(2.00,3.28)(9.77,5.29)][(3.02,1.47)(1.89,1.71)][(2.07,1.33)(2.30,4.16)]
